candidate,gender,constituency,seats,party
Jimmy  Deenihan,Male,Kerry,5,Fine Gael
Pat Deering,Male,Carlow-Kilkenny,5,Fine Gael
Nigel Dennehy,Male,Cork North-West,3,Sinn Fein
Anne-Marie Dermody,Female,Dublin South-West,5,Fine Gael
Alan Deveron,Male,Dublin Rathdown,3,Renua
Maiire Devine,Female,Dublin South-Central,4,Sinn Fein
Cormac Devlin,Male,Dun Laoghaire,4,Fianna Fail
Jimmy Dignam,Male,Dublin North-West,3,The Workers' Party
Michael Dillon,Male,Tipperary,5,Independent
Pearse Doherty,Male,Donegal,5,Sinn Fein
Regina Doherty ,Female,Meath East,3,Fine Gael
Gary  Doherty ,Male,Donegal,5,Sinn Fein
Stephen Donnelly,Male,Wicklow,5,Social Democrats
Paul  Donnelly ,Male,Dublin West,4,Sinn Fein
Paschal  Donohoe,Male,Dublin Central,3,Fine Gael
Timmy Dooley,Male,Clare,4,Fianna Fail
Andrew Doyle,Male,Wicklow,5,Fine Gael
Anna Doyle,Female,Wicklow,5,People Before Profit Alliance
Mick Duff,Male,Dublin South-West,5,Labour Party
Francis Noel Duffy,Male,Dublin South-West,5,Green Party
Gerard Dunne,Male,Kildare North,4,Independent
Una Dunphy,Female,Waterford,4,People Before Profit Alliance
Bernard Durkan,Male,Kildare North,4,Fine Gael
Mike Durkan,Male,Cavan-Monaghan,4,Fianna Fail
John Dwyer,Male,Wexford,5,Independent
Dessie Ellis,Male,Dublin North-West,3,Sinn Fein
Damien English,Male,Meath West,3,Fine Gael
Brian Fagan,Male,Longford-Westmeath,4,Independent
Michael Fahy,Male,Galway East,3,Independent
Thomas Declen Fallon,Male,Roscommon-Galway,3,Independent
Anne  Farrell,Female,Roscommon-Galway,3,Renua
Alan  Farrell,Male,Dublin Fingal,5,Fine Gael
Michael Farrington,Male,Mayo,4,Renua
Sandra Fay,Female,Dublin South-West,5,People Before Profit Alliance
Patrick  Feeney,Male,Galway West,5,Independent
Anne  Ferris,Female,Wicklow,5,Labour Party
Martin  Ferris,Male,Kerry,5,Sinn Fein
Christopher Fettes,Male,Offaly,3,Green Party
Finbarr  Filan,Male,Sligo-Leitrim,4,Renua
Mick Finn,Male,Cork South-Central ,4,Independent
Brian Finucane,Male,Kerry,5,People Before Profit Alliance
Michael Fitzgerald,Male,Kerry,5,Green Party
David Fitzgerald,Male,Carlow-Kilkenny,5,Fine Gael
Jason Fitzgerald,Male,Cork North-West,3,Renua
Frances  Fitzgerald,Female,Dublin Mid-West,4,Fine Gael
Shane Fitzgerald,Male,Kildare North,4,Renua
Mary  Fitzgibbon,Female,Kerry,5,Independent
Gearoid Fitzgibbon,Male,Tipperary,5,Green Party
Michael  Fitzmaurice,Male,Roscommon-Galway,3,Independent
Peter Fitzpatrick,Male,Dublin South-West,5,Independent
Mary Fitzpatrick,Female,Dublin Central,3,Fianna Fail
Peter Fittzpatrick,Male,Louth,5,Fine Gael
Eddie  Fitzpatrick,Male,Offaly,3,Fianna Fail
Charlie Flanagan,Male,Laois,3,Fine Gael
Paula  Flanagan,Female,Donegal,5,Green Party
Terence Flanagan,Male,Dublin Bay North,5,Renua
Sean Fleming,Male,Laois,3,Fianna Fail
Mannix Flynn,Male,Dublin Bay South,4,Independent
John Foley,Male,Offaly,3,Independent
Sean Forkan,Male,Mayo,4,Independent
Caroline Foxe,Female,Wexford,5,Independent
Roslyn Fuller,Female,Dublin Fingal,5,Independent
Kathleen  Funchion,Female,Carlow-Kilkenny,5,Sinn Fein
James Gaffney,Male,Limerick City,4,Green Party
Pat Gallagher,Male,Donegal,5,Fianna Fail
Nigel Gallagher,Male,Sligo-Leitrim,4,People Before Profit Alliance
Gary Gannon,Male,Dublin Central,3,Social Democrats
Michael  Gargan,Male,Dublin South-Central,4,Renua
Henry Gaynor,Male,Kerry,5,Independent
Connie Gerety-Quinn,Female,Longford-Westmeath,4,Fianna Fail
Jacqui Gilbourne,Male,Dublin Central,3,Renua
Keith Gilligan,Male,Carlow-Kilkenny,5,Independent
Ben  Gilroy,Male,Meath East,3,Direct Democracy Ireland
Paul Gogarty,Male,Dublin Mid-West,4,Independent
Trevor Golden,Male,Meath West,3,Independent
William Gorman,Male,Dublin Bay South,4,Independent
William D.J. Gorman,Male,Dublin Central,3,Independent
Thomas Gould,Male,Cork North-Central,4,Sinn Fein
Noel Grealish,Male,Galway West,5,Independent
Pat Greene,Male,Louth,5,Direct Democracy Ireland
Shirley Griffin,Female,Cork North-West,3,Independent
Brendan  Griffin ,Male,Kerry,5,Fine Gael
Des Guckian,Male,Sligo-Leitrim,4,Independent
Jimmy Guerin,Male,Dublin Bay North,5,Independent
Andre Sibo  Hakizimana,Male,Clare,4,Independent
John Halligan,Male,Waterford,4,Independent
Mary Hanafin,Female,Dun Laoghaire,4,Fianna Fail
Paul Hand,Male,Dublin South-Central,4,Independent
Dominic  Hannigan,Male,Meath East,3,Labour Party
Joe Hannigan ,Male,Offaly,3,Independent
Noel Harrington,Male,Cork South-West,3,Fine Gael
Joe Harris,Male,Cork South-Central ,4,Independent
Simon Harris,Male,Wicklow,5,Fine Gael
Paddy Harte,Male,Donegal,5,Fine Gael
Michael Harty,Male,Clare,4,Independent
Natasha  Harty,Female,Cork East,4,Green Party
Sean Haughey,Male,Dublin Bay North,5,Fianna Fail
Tom  Hayes,Male,Tipperary,5,Fine Gael
Desmond Hayes,Male,Limerick City,4,Independent
Christopher Healy,Male,Dublin Mid-West,4,Direct Democracy Ireland
Stephanie Healy,Female,Longford-Westmeath,4,Direct Democracy Ireland
Seamus Healy,Male,Tipperary,5,Independent
Fidelma Healy-Eames,Female,Galway West,5,Independent
Michael  Healy Rae,Male,Kerry,5,Independent
Danny Healy-Rae,Male,Kerry,5,Independent
Theresa Heaney,Female,Cork South-West,3,Catholic Democrats
James Heffernan ,Male,Limerick County,3,Social Democrats
Deirdre Heney,Female,Dublin Bay North,5,Fianna Fail
Sarah Jane  Hennelly ,Female,Limerick City,4,Social Democrats
Lorraine  Hennessy,Female,Dublin Mid-West,4,The Workers' Party
Miriam Hennesy,Female,Roscommon-Galway,3,Green Party
Martin Heydon,Male,Kildare South,3,Fine Gael
Lorraine  Higgins,Female,Galway East,3,Labour Party
Mary  Hoade,Female,Galway West,5,Fianna Fail
Paul Hogan,Male,Longford-Westmeath,4,Sinn Fein
Julie Hogan,Female,Wexford,5,Fine Gael
Sarah  Holland,Female,Dublin South-West,5,Sinn Fein
Tommy Holohan,Male,Galway West,5,People Before Profit Alliance
Maura  Hopkins,Female,Roscommon-Galway,3,Fine Gael
Elizabeth Hourihane,Female,Cork South-Central ,4,Independent
Mary Howard,Female,Clare,4,Fine Gael
Brendan Howlin,Male,Wexford,5,Labour Party
Bernie  Hughes,Female,Dublin North-West,3,Independent
Kevin Humphreys,Male,Dublin Bay South,4,Labour Party
Heather Humphries,Female,Cavan-Monaghan,4,Fine Gael
