candidate,gender,constituency,seats,party
Teresa Ryan-Feehan,Female,Offaly,3,Independent
Eamon Scanlon,Male,Sligo-Leitrim,4,Fianna Fail
Mae Sexton,Female,Longford-Westmeath,4,Independent
Alan Shatter,Male,Dublin Rathdown,3,Fine Gael
Margaret Sheehan,Female,Mayo,4,Green Party
Seamus Sheridan,Male,Galway West,5,Green Party
Sean Sherlock,Male,Cork East,4,Labour Party
Dessie Shiels,Male,Donegal,5,Independent
Roisin Shortall,Female,Dublin North-West,3,Social Democrats
Stephen  Sinclair,Male,Dublin South-West,5,Direct Democracy Ireland
Emmett Smith,Male,Cavan-Monaghan,4,Independent
Brendan Smith,Male,Cavan-Monaghan,4,Fianna Fail
Brid Smith,Female,Dublin South-Central,4,People Before Profit Alliance
Michael Smith,Male,Tipperary,5,Fianna Fail
Fergal  Smith,Male,Clare,4,Green Party
Ken Smollen,Male,Offaly,3,Irish Democratic Party
Niamh  Smyth,Female,Cavan-Monaghan,4,Fianna Fail
Carrie Smyth,Female,Dun Laoghaire,4,Labour Party
Ossian Smyth,Male,Dun Laoghaire,4,Green Party
Ian Noel Smyth,Male,Dublin Central,3,Green Party
Barbara Smyth,Female,Longford-Westmeath,4,Independent
Mary  Smyth ,Female,Cavan-Monaghan,4,Renua
Arthur Spring,Male,Kerry,5,Labour Party
Emmett  Stagg,Male,Kildare North,4,Labour Party
Brian Stanley,Male,Laois,3,Sinn Fein
David  Stanton,Male,Cork East,4,Fine Gael
Joan Summerville-Malloy,Female,Dublin South-West,5,Independent
Bernard Sweeney ,Male,Sligo-Leitrim,4,Independent
Eoin Tierney,Male,Dublin Bay South,4,Independent
Billy  Timmins,Male,Wicklow,5,Renua
Francis  Timmons,Male,Dublin Mid-West,4,Independent
Peadar  Toibin,Male,Meath West,3,Sinn Fein
Robert Troy,Male,Longford-Westmeath,4,Fianna Fail
Joanna  Tuffy,Female,Dublin Mid-West,4,Labour Party
Ted Tynan,Male,Cork North-Central,4,The Workers' Party
Sarah Tyrrell,Male,Meath East,3,Renua
Kamal  Uddin,Male,Mayo,4,Independent
Leo Varadkar,Male,Dublin West,4,Fine Gael
Deirdre Wadding,Female,Wexford,5,People Before Profit Alliance
Mark Wall,Male,Kildare South,3,Labour Party
Mick Wallace,Male,Wexford,5,Independents 4 Change
Adrienne  Wallace,Female,Carlow-Kilkenny,5,People Before Profit Alliance
Ann Walsh,Female,Wexford,5,Green Party
John Walsh,Male,Waterford,4,Independent
Noel Walsh,Male,Carlow-Kilkenny,5,Independent
Karen Warren,Female,Dublin South-West,5,Fine Gael
Garett Weldon,Male,Louth,5,People Before Profit Alliance
John Whelan,Male,Laois,3,Labour Party
Mary  White,Female,Dublin Rathdown,3,Fianna Fail
Alex White ,Male,Dublin Rathdown,3,Labour Party
Raymond Whitehead,Male,Dun Laoghaire,4,Direct Democracy Ireland
John  Wilson,Male,Cavan-Monaghan,4,Independent
Maeve Yore,Female,Louth,5,Independent
Brendan Young ,Male,Kildare North,4,Independent
Katherine  Zappone,Female,Dublin South-West,5,Independent
