candidate,gender,party
Paula  Flanagan,Female,Green Party
Terence Flanagan,Male,Renua
Sean Fleming,Male,Fianna Fail
Mannix Flynn,Male,Independent
John Foley,Male,Independent
Sean Forkan,Male,Independent
Caroline Foxe,Female,Independent
Roslyn Fuller,Female,Independent
Kathleen  Funchion,Female,Sinn Fein
James Gaffney,Male,Green Party
Pat Gallagher,Male,Fianna Fail
Nigel Gallagher,Male,People Before Profit Alliance
Gary Gannon,Male,Social Democrats
Michael  Gargan,Male,Renua
Henry Gaynor,Male,Independent
Connie Gerety-Quinn,Female,Fianna Fail
Jacqui Gilbourne,Male,Renua
Keith Gilligan,Male,Independent
Ben  Gilroy,Male,Direct Democracy Ireland
Paul Gogarty,Male,Independent
Trevor Golden,Male,Independent
William Gorman,Male,Independent
William D.J. Gorman,Male,Independent
Thomas Gould,Male,Sinn Fein
Noel Grealish,Male,Independent
Pat Greene,Male,Direct Democracy Ireland
Shirley Griffin,Female,Independent
Brendan  Griffin ,Male,Fine Gael
Des Guckian,Male,Independent
Jimmy Guerin,Male,Independent
Andre Sibo  Hakizimana,Male,Independent
John Halligan,Male,Independent
Mary Hanafin,Female,Fianna Fail
Paul Hand,Male,Independent
Dominic  Hannigan,Male,Labour Party
Joe Hannigan ,Male,Independent
Noel Harrington,Male,Fine Gael
Joe Harris,Male,Independent
Simon Harris,Male,Fine Gael
Paddy Harte,Male,Fine Gael
Michael Harty,Male,Independent
Natasha  Harty,Female,Green Party
Sean Haughey,Male,Fianna Fail
Tom  Hayes,Male,Fine Gael
Desmond Hayes,Male,Independent
Christopher Healy,Male,Direct Democracy Ireland
Stephanie Healy,Female,Direct Democracy Ireland
Seamus Healy,Male,Independent
Fidelma Healy-Eames,Female,Independent
Michael  Healy Rae,Male,Independent
Danny Healy-Rae,Male,Independent
Theresa Heaney,Female,Catholic Democrats
James Heffernan ,Male,Social Democrats
Deirdre Heney,Female,Fianna Fail
Sarah Jane  Hennelly ,Female,Social Democrats
Lorraine  Hennessy,Female,The Workers' Party
Miriam Hennesy,Female,Green Party
Martin Heydon,Male,Fine Gael
Lorraine  Higgins,Female,Labour Party
Mary  Hoade,Female,Fianna Fail
Paul Hogan,Male,Sinn Fein
Julie Hogan,Female,Fine Gael
Sarah  Holland,Female,Sinn Fein
Tommy Holohan,Male,People Before Profit Alliance
Maura  Hopkins,Female,Fine Gael
Elizabeth Hourihane,Female,Independent
Mary Howard,Female,Fine Gael
Brendan Howlin,Male,Labour Party
Bernie  Hughes,Female,Independent
Kevin Humphreys,Male,Labour Party
Heather Humphries,Female,Fine Gael
Carol Hunt,Female,Independent
Katrina Hutchinson,Female,Direct Democracy Ireland
Tim Jackson,Male,Independent
Donal  Jackson,Male,Independent
Peter Jordan,Male,Independent
Bob Kearns,Male,Independent
Pamela  Kearns,Female,Labour Party
Derek Keating,Male,Fine Gael
Colm Keaveney,Male,Fianna Fail
Charlie Keddy,Male,Independent
Andrew  Keegan,Male,People Before Profit Alliance
Paul Kehoe,Male,Fine Gael
John Dominic Keigher,Male,Independent
Terry  Kelleher,Male,People Before Profit Alliance
Billy Kelleher,Male,Fianna Fail
Leonard Kelly,Male,Social Democrats
Alan Kelly,Male,Labour Party
John Kelly,Male,Labour Party
Ciaran Kenneally,Male,Renua
Mary Kennedy,Female,Renua
Niamh Kennedy,Female,Independent
Enda Kenny,Male,Fine Gael
Martin Kenny,Male,Sinn Fein
Gino Kenny,Male,People Before Profit Alliance
Sharon  Keogan,Female,Independent
Mark  Keogh,Male,Direct Democracy Ireland
Ger Keohane,Male,Independent
Claire  Kerrane,Female,Sinn Fein
Guinan Kerry,Female,Independent
Haroon Khan,Male,Independent
Thomas Kiely,Male,Independent
Tom Kivlehan,Male,Green Party
Sean Kyne,Male,Fine Gael
John Lahart,Male,Fianna Fail
Alan  Lawes,Male,Direct Democracy Ireland
James  Lawless,Male,Fianna Fail
Anthony Lawlor,Male,Fine Gael
Rose Leadbetter ,Female,Independent
John Leahy,Male,Renua
Clare Leonard,Male,Independent
Ciara Leonardi Roche,Female,People Before Profit Alliance
Mary Linehan Foley,Female,Independent
David Lloyd,Male,Direct Democracy Ireland
Michael Lowry,Male,Independent
Glenna  Lynch,Female,Social Democrats
Ciaran  Lynch,Male,Labour Party
Ian Lynch,Male,Independent
Kathleen Lynch,Female,Labour Party
Jon Lyons,Male,Labour Party
John Lyons,Male,People Before Profit Alliance
Micheal Mac Donncha,Male,Sinn Fein
Cormac MacKay,Male,Direct Democracy Ireland
Conor Mac Liam,Male,People Before Profit Alliance
Padraig MacLochlainn,Male,Sinn Fein
Chris MacManus,Male,Sinn Fein
Marc MacSharry,Male,Fianna Fail
Alan MacStiofain,Male,Independent
Josepha Madigan,Female,Fine Gael
Manchan Magan,Male,Green Party
John Malone,Male,Independent
Eamonn Maloney,Male,Independent
Paddy Manning,Male,Independent
Stephen  Manning,Male,Independent
Cormac Manning,Male,Green Party
Catherine Martin,Female,Green Party
Barry  Martin,Male,Independents 4 Change
Micheal Martin,Male,Fianna Fail
Peter  Matthews,Male,Independent
Steven Matthews,Male,Green Party
Paul McAuliffe,Male,Fianna Fail
Frank McBrearty,Male,Independent
Noel McCarthy,Male,Fine Gael
Kieran McCarthy,Male,Independent
Rachel  McCarthy,Female,Sinn Fein
Michael McCarthy,Male,Labour Party
Charlie McConalogue,Male,Fianna Fail
Mick McDermott,Male,Direct Democracy Ireland
Michael  McDonagh,Male,Fianna Fail
Seamus  McDonagh,Male,The Workers' Party
Mary Lou McDonald,Female,Sinn Fein
Tracy McElhinney,Female,Labour Party
Suzanne McEneaney,Female,Green Party
Helen McEntee,Female,Fine Gael
Gabrielle McFadden,Female,Fine Gael
Ian McGarvey,Male,Independent
Finian McGrath,Male,Independent
Michael McGrath,Male,Fianna Fail
Mattie McGrath,Male,Independent
John McGuinness,Male,Fianna Fail
David McGuinness ,Male,Independent
Joe McHugh,Male,Fine Gael
Cormac McKay,Male,Independent
Patrick McKee,Male,Renua
Noel McKervey,Male,Catholic Democrats
Tony McLoughlin,Male,Fine Gael
Fiona McLoughlin-Healy,Female,Fine Gael
Ronan McMahon,Male,Renua
Seamus McMenamin,Male,Green Party
Anne-Marie  McNally,Female,Social Democrats
Michael  McNamara,Male,Labour Party
Jimmy Mee,Male,Independent
Aengus Melia,Male,Direct Democracy Ireland
Ashling Merriman,Female,People Before Profit Alliance
James Miller,Male,Independent
Denise Mitchell,Female,Sinn Fein
Mary  Mitchell O'Connor ,Female,Fine Gael
Michael Mohally,Male,Independent
Gerry Molloy,Male,Renua
Emmet Moloney,Male,Independent
Annette Mooney,Female,People Before Profit Alliance
Michael  Mooney,Male,Independent
Sinead Moore,Female,Green Party
Tom Moran,Male,People Before Profit Alliance
Mary Moran,Female,Labour Party
Kevin Moran,Male,Independent
Oliver  Moran,Male,Green Party
Noeleen Moran,Female,Sinn Fein
James Morgan,Male,Independent
Norma Moriarty,Female,Fianna Fail
Seamus Morris,Male,Sinn Fein
Michael Moynihan,Male,Fianna Fail
Aindrias  Moynihan ,Male,Fianna Fail
Michelle Mulherin,Female,Fine Gael
Dermot  Mulqueen,Male,Independent
Imelda Munster,Female,Sinn Fein
Jennifer Murnane O'Connor,Female,Fianna Fail
Eugene Murphy,Male,Fianna Fail
Paul  Murphy,Male,People Before Profit Alliance
Mick Murphy,Male,Independent
Dara Murphy,Male,Fine Gael
Kevin  Murphy,Male,Independent
Eoghan  Murphy,Male,Fine Gael
Marie  Murphy,Female,Fine Gael
Catherine Murphy,Female,Social Democrats
Tony Murphy ,Male,Independent
Margaret Murphy O'Mahony,Female,Fianna Fail
Richard Murray,Male,Independent
Eamon Murray,Male,Independent
Johnny Mythen,Male,Sinn Fein
Gerald  Nash,Male,Labour Party
Hildegarde  Naughten,Female,Fine Gael
Denis Naughten,Male,Independent
Tom Neville,Male,Fine Gael
Sorcha  Nic Cormaic,Female,Sinn Fein
Cordelia Nic Fhearraigh,Female,Fis Nua
Mairead Ni Chroinin,Male,Green Party
Maebh Ni Fhalluin,Female,Green Party
Derek  Nolan,Male,Labour Party
Carol Nolan,Female,Sinn Fein
Malcolm  Noonan,Male,Green Party
Michael  Noonan,Male,Fine Gael
Catherine  Noone,Female,Fine Gael
Ann Norton,Female,Independent
